Treatments,Time,BT,BV,CD,CH,BU,CS,CA,DP,P1,P2,P3
MS001-CS_0,12,0.0,0.0,0.641448911,0.0,0.0,0.030717766,0.0,0.0,1.0,0.0,0.0
MS001-CS_0,24,0.0,0.0,0.499686719,0.0,0.0,0.049479962,0.0,0.0,1.0,0.0,0.0
MS001-CS_1,0,0.0,0.0,0.024984336,0.0,0.0,0.002473998,0.0,0.0,0.0,1.0,0.0
MS001-CS_1,12,0.0,0.0,0.541058656,0.0,0.0,0.020774683,0.0,0.0,0.0,1.0,0.0
MS001-CS_1,24,0.0,0.0,0.41770213,0.0,0.0,0.019631187,0.0,0.0,0.0,1.0,0.0
MS001-CS_2,0,0.0,0.0,0.020885107,0.0,0.0,0.000981559,0.0,0.0,0.0,0.0,1.0
MS001-CS_2,12,0.0,0.0,0.507776944,0.0,0.0,0.00138973,0.0,0.0,0.0,0.0,1.0
MS001-CS_2,24,0.0,0.0,0.427686665,0.0,0.0,0.002313319,0.0,0.0,0.0,0.0,1.0
MS001-DP_0,0,0.0,0.0,0.005,0.0,0.0,0.0,0.0,0.005,1.0,0.0,0.0
MS001-DP_0,12,0.0,0.0,0.560136231,0.0,0.0,0.0,0.0,0.064363767,1.0,0.0,0.0
MS001-DP_0,24,0.0,0.0,0.611783843,0.0,0.0,0.0,0.0,0.2070495,1.0,0.0,0.0
MS001-DP_1,0,0.0,0.0,0.030589192,0.0,0.0,0.0,0.0,0.010352475,0.0,1.0,0.0
MS001-DP_1,12,0.0,0.0,0.066620382,0.0,0.0,0.0,0.0,0.133046281,0.0,1.0,0.0
MS001-DP_1,24,0.0,0.0,0.246922118,0.0,0.0,0.0,0.0,0.194244547,0.0,1.0,0.0
MS001-DP_2,0,0.0,0.0,0.012346106,0.0,0.0,0.0,0.0,0.009712227,0.0,0.0,1.0
MS001-DP_2,12,0.0,0.0,0.484319853,0.0,0.0,0.0,0.0,0.135346804,0.0,0.0,1.0
MS001-DP_2,24,0.0,0.0,0.995312582,0.0,0.0,0.0,0.0,0.461854096,0.0,0.0,1.0
MonocultureBT_0,0,0.008733332,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
MonocultureBT_0,3,0.0602,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
MonocultureBT_0,6,0.505466679,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
MonocultureBT_0,9,1.093400021,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
MonocultureBT_0,12,1.098699986,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
MonocultureBT_0,15,1.044866661,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
MonocultureBT_0,18,1.004799981,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
MonocultureBT_0,21,0.997233331,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
MonocultureBT_0,24,1.018433352,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
MonocultureBT_0,27,1.057366669,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
MonocultureBT_0,30,1.086000025,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
