No,Time,Replicate,media,OD,Strain
147,24,1,DM29 + Mucin Type II,0.285299987,Strain 289
148,24,1,DM29 + GlcNAc,0.206899986,Strain 289
149,24,1,DM29 + Sialic Acid,0.356899984,Strain 289
150,24,2,DM29,0.129400015,Strain 289
151,24,2,DM29 + Glucose,0.529199988,Strain 289
152,24,2,DM29 + Galactose,0.236100018,Strain 289
153,24,2,DM29 + Mucin Type II,0.299400002,Strain 289
154,24,2,DM29 + GlcNAc,0.223799989,Strain 289
155,24,2,DM29 + Sialic Acid,0.368700005,Strain 289
156,24,3,DM29,0.1435,Strain 289
157,24,3,DM29 + Glucose,0.506100029,Strain 289
158,24,3,DM29 + Galactose,0.210099995,Strain 289
159,24,3,DM29 + Mucin Type II,0.286500007,Strain 289
160,24,3,DM29 + GlcNAc,0.245399997,Strain 289
161,24,3,DM29 + Sialic Acid,0.386300005,Strain 289
162,27,1,DM29,0.143400013,Strain 289
163,27,1,DM29 + Glucose,0.484599978,Strain 289
164,27,1,DM29 + Galactose,0.22300002,Strain 289
165,27,1,DM29 + Mucin Type II,0.277099997,Strain 289
166,27,1,DM29 + GlcNAc,0.126200005,Strain 289
167,27,1,DM29 + Sialic Acid,0.183299996,Strain 289
168,27,2,DM29,0.146299988,Strain 289
169,27,2,DM29 + Glucose,0.501499981,Strain 289
170,27,2,DM29 + Galactose,0.225500017,Strain 289
171,27,2,DM29 + Mucin Type II,0.291099995,Strain 289
172,27,2,DM29 + GlcNAc,0.129199997,Strain 289
173,27,2,DM29 + Sialic Acid,0.191399999,Strain 289
174,27,3,DM29,0.137699991,Strain 289
175,27,3,DM29 + Glucose,0.487799972,Strain 289
176,27,3,DM29 + Galactose,0.1972,Strain 289
177,27,3,DM29 + Mucin Type II,0.290100008,Strain 289
178,27,3,DM29 + GlcNAc,0.137399986,Strain 289
179,27,3,DM29 + Sialic Acid,0.202200003,Strain 289
180,30,1,DM29,0.124799997,Strain 289
181,30,1,DM29 + Glucose,0.343899995,Strain 289
182,30,1,DM29 + Galactose,0.206100017,Strain 289
183,30,1,DM29 + Mucin Type II,0.273200005,Strain 289
184,30,1,DM29 + GlcNAc,0.104599997,Strain 289
185,30,1,DM29 + Sialic Acid,0.118099995,Strain 289
186,30,2,DM29,0.143299997,Strain 289
187,30,2,DM29 + Glucose,0.340999991,Strain 289
188,30,2,DM29 + Galactose,0.215299994,Strain 289
189,30,2,DM29 + Mucin Type II,0.289999992,Strain 289
190,30,2,DM29 + GlcNAc,0.10239999,Strain 289
191,30,2,DM29 + Sialic Acid,0.1219,Strain 289
192,30,3,DM29,0.124300003,Strain 289
193,30,3,DM29 + Glucose,0.37469998,Strain 289
194,30,3,DM29 + Galactose,0.191000014,Strain 289
195,30,3,DM29 + Mucin Type II,0.283100039,Strain 289
196,30,3,DM29 + GlcNAc,0.106299996,Strain 289
197,30,3,DM29 + Sialic Acid,0.125399999,Strain 289
198,33,1,DM29,0.11469999,Strain 289
199,33,1,DM29 + Glucose,0.230699986,Strain 289
200,33,1,DM29 + Galactose,0.180900007,Strain 289
201,33,1,DM29 + Mucin Type II,0.284700006,Strain 289
202,33,1,DM29 + GlcNAc,0.096999988,Strain 289
203,33,1,DM29 + Sialic Acid,0.097600006,Strain 289
204,33,2,DM29,0.123300016,Strain 289
205,33,2,DM29 + Glucose,0.230100006,Strain 289
206,33,2,DM29 + Galactose,0.209199995,Strain 289
207,33,2,DM29 + Mucin Type II,0.300600022,Strain 289
208,33,2,DM29 + GlcNAc,0.093099996,Strain 289
