,Time,Replicate,media,OD,Strain
130,21,1,DM29 + Mannitol,0.477700017,Strain 289
131,21,1,DM29 + Trehalose,0.145299986,Strain 289
132,21,2,DM29 + GalNAc,0.1391,Strain 289
133,21,2,DM29 + Fucose,0.210600004,Strain 289
134,21,2,DM29 + Succinate,0.256799981,Strain 289
135,21,2,DM29 + Sorbitol,0.300199993,Strain 289
136,21,2,DM29 + Mannitol,0.476200007,Strain 289
137,21,2,DM29 + Trehalose,0.17459999,Strain 289
138,21,3,DM29 + GalNAc,0.134800002,Strain 289
139,21,3,DM29 + Fucose,0.210499987,Strain 289
140,21,3,DM29 + Succinate,0.298600003,Strain 289
141,21,3,DM29 + Sorbitol,0.360199995,Strain 289
142,21,3,DM29 + Mannitol,0.502100013,Strain 289
143,21,3,DM29 + Trehalose,0.179799989,Strain 289
144,24,1,DM29 + GalNAc,0.132100001,Strain 289
145,24,1,DM29 + Fucose,0.156499997,Strain 289
146,24,1,DM29 + Succinate,0.191400006,Strain 289
147,24,1,DM29 + Sorbitol,0.277199991,Strain 289
148,24,1,DM29 + Mannitol,0.420399986,Strain 289
149,24,1,DM29 + Trehalose,0.173899993,Strain 289
150,24,2,DM29 + GalNAc,0.136199996,Strain 289
151,24,2,DM29 + Fucose,0.170699999,Strain 289
152,24,2,DM29 + Succinate,0.17309998,Strain 289
153,24,2,DM29 + Sorbitol,0.276499994,Strain 289
154,24,2,DM29 + Mannitol,0.439499997,Strain 289
155,24,2,DM29 + Trehalose,0.160999999,Strain 289
156,24,3,DM29 + GalNAc,0.137600019,Strain 289
157,24,3,DM29 + Fucose,0.154100016,Strain 289
158,24,3,DM29 + Succinate,0.193000004,Strain 289
159,24,3,DM29 + Sorbitol,0.317700006,Strain 289
160,24,3,DM29 + Mannitol,0.458600007,Strain 289
161,24,3,DM29 + Trehalose,0.173299983,Strain 289
162,27,1,DM29 + GalNAc,0.134300008,Strain 289
163,27,1,DM29 + Fucose,0.155399993,Strain 289
164,27,1,DM29 + Succinate,0.14759998,Strain 289
165,27,1,DM29 + Sorbitol,0.295400001,Strain 289
166,27,1,DM29 + Mannitol,0.408099972,Strain 289
167,27,1,DM29 + Trehalose,0.197899982,Strain 289
168,27,2,DM29 + GalNAc,0.142299995,Strain 289
169,27,2,DM29 + Fucose,0.179299995,Strain 289
170,27,2,DM29 + Succinate,0.20189999,Strain 289
171,27,2,DM29 + Sorbitol,0.298199989,Strain 289
172,27,2,DM29 + Mannitol,0.418800019,Strain 289
173,27,2,DM29 + Trehalose,0.186799988,Strain 289
174,27,3,DM29 + GalNAc,0.13850002,Strain 289
175,27,3,DM29 + Fucose,0.158500001,Strain 289
176,27,3,DM29 + Succinate,0.20099999,Strain 289
177,27,3,DM29 + Sorbitol,0.295300014,Strain 289
178,27,3,DM29 + Mannitol,0.430799983,Strain 289
179,27,3,DM29 + Trehalose,0.179399982,Strain 289
180,30,1,DM29 + GalNAc,0.140499994,Strain 289
181,30,1,DM29 + Fucose,0.149400011,Strain 289
182,30,1,DM29 + Succinate,0.189600006,Strain 289
183,30,1,DM29 + Sorbitol,0.298199989,Strain 289
184,30,1,DM29 + Mannitol,0.39449998,Strain 289
185,30,1,DM29 + Trehalose,0.151500002,Strain 289
186,30,2,DM29 + GalNAc,0.152899995,Strain 289
187,30,2,DM29 + Fucose,0.176700011,Strain 289
188,30,2,DM29 + Succinate,0.195500001,Strain 289
189,30,2,DM29 + Sorbitol,0.262699999,Strain 289
190,30,2,DM29 + Mannitol,0.399700008,Strain 289
191,30,2,DM29 + Trehalose,0.237599984,Strain 289
192,30,3,DM29 + GalNAc,0.144299999,Strain 289
193,30,3,DM29 + Fucose,0.15519999,Strain 289
194,30,3,DM29 + Succinate,0.161599979,Strain 289
195,30,3,DM29 + Sorbitol,0.290800013,Strain 289
196,30,3,DM29 + Mannitol,0.416300021,Strain 289
