,Time,Replicate,media,OD
263,42,2,DM29 + Trehalose,0.50370001
264,42,3,DM29 + GalNAc,0.235999987
265,42,3,DM29 + Fucose,0.275099978
266,42,3,DM29 + Succinate,0.109899998
267,42,3,DM29 + Sorbitol,0.419700012
268,42,3,DM29 + Mannitol,0.064199999
269,42,3,DM29 + Trehalose,0.540599994
270,45,1,DM29 + GalNAc,0.138899997
271,45,1,DM29 + Fucose,0.133599982
272,45,1,DM29 + Succinate,0.126000002
273,45,1,DM29 + Sorbitol,0.374100015
274,45,1,DM29 + Mannitol,0.094799995
275,45,1,DM29 + Trehalose,0.453100018
276,45,2,DM29 + GalNAc,0.175100014
277,45,2,DM29 + Fucose,0.184900001
278,45,2,DM29 + Succinate,0.093199998
279,45,2,DM29 + Sorbitol,0.408900008
280,45,2,DM29 + Mannitol,0.063899994
281,45,2,DM29 + Trehalose,0.477900021
282,45,3,DM29 + GalNAc,0.211399987
283,45,3,DM29 + Fucose,0.214099988
284,45,3,DM29 + Succinate,0.109399989
285,45,3,DM29 + Sorbitol,0.405599996
286,45,3,DM29 + Mannitol,0.074399993
287,45,3,DM29 + Trehalose,0.521099977
288,48,1,DM29 + GalNAc,0.125100002
289,48,1,DM29 + Fucose,0.115999997
290,48,1,DM29 + Succinate,0.187499985
291,48,1,DM29 + Sorbitol,0.379200026
292,48,1,DM29 + Mannitol,0.112000003
293,48,1,DM29 + Trehalose,0.4476
294,48,2,DM29 + GalNAc,0.142299995
295,48,2,DM29 + Fucose,0.12969999
296,48,2,DM29 + Succinate,0.144999996
297,48,2,DM29 + Sorbitol,0.418099985
298,48,2,DM29 + Mannitol,0.104000002
299,48,2,DM29 + Trehalose,0.466899984
300,48,3,DM29 + GalNAc,0.18249999
301,48,3,DM29 + Fucose,0.202900007
302,48,3,DM29 + Succinate,0.104899988
303,48,3,DM29 + Sorbitol,0.415999994
304,48,3,DM29 + Mannitol,0.058200002
305,48,3,DM29 + Trehalose,0.509699993
306,51,1,DM29 + GalNAc,0.0977
307,51,1,DM29 + Fucose,0.080899999
308,51,1,DM29 + Succinate,0.149799988
309,51,1,DM29 + Sorbitol,0.358899996
310,51,1,DM29 + Mannitol,0.212999985
311,51,1,DM29 + Trehalose,0.426500015
312,51,2,DM29 + GalNAc,0.104599997
313,51,2,DM29 + Fucose,0.103399992
314,51,2,DM29 + Succinate,0.102199987
315,51,2,DM29 + Sorbitol,0.389799997
316,51,2,DM29 + Mannitol,0.083700001
317,51,2,DM29 + Trehalose,0.442199998
318,51,3,DM29 + GalNAc,0.150100008
319,51,3,DM29 + Fucose,0.1664
320,51,3,DM29 + Succinate,0.106399998
321,51,3,DM29 + Sorbitol,0.386799976
