,Time,Replicate,media,OD,Strain
299,33,3,CM,0.437266687,MS001
300,33,1,CM,0.495966652,MS002
301,33,2,CM,0.498366693,MS002
302,33,3,CM,0.496066669,MS002
303,33,1,CM,0.464066664,MS004
304,33,2,CM,0.480966667,MS004
305,33,3,CM,0.482966641,MS004
306,33,1,CM,0.520766655,MS006
307,33,2,CM,0.596866647,MS006
308,33,3,CM,0.493266681,MS006
309,33,1,CM,0.400866667,MS008
310,33,2,CM,0.423366645,MS008
311,33,3,CM,0.400066653,MS008
312,33,1,CM,0.534466663,MS010
313,33,2,CM,0.50666664,MS010
314,33,3,CM,0.493166665,MS010
315,33,1,CM,0.453666667,MS011
316,33,2,CM,0.467466692,MS011
317,33,3,CM,0.465766648,MS011
318,33,1,CM,0.406566659,MS013
319,33,2,CM,0.404166678,MS013
320,33,3,CM,0.425866643,MS013
321,33,1,CM,0.52636669,MS014
322,33,2,CM,0.488866666,MS014
323,33,3,CM,0.491466681,MS014
324,36,1,CM,0.374466637,MS001
325,36,2,CM,0.374466637,MS001
326,36,3,CM,0.409666637,MS001
327,36,1,CM,0.481966654,MS002
328,36,2,CM,0.485166648,MS002
329,36,3,CM,0.482466677,MS002
330,36,1,CM,0.44656668,MS004
331,36,2,CM,0.464766661,MS004
332,36,3,CM,0.461666683,MS004
333,36,1,CM,0.527966658,MS006
334,36,2,CM,0.601666668,MS006
335,36,3,CM,0.488966683,MS006
336,36,1,CM,0.402066687,MS008
337,36,2,CM,0.423066655,MS008
338,36,3,CM,0.39986668,MS008
339,36,1,CM,0.539466659,MS010
340,36,2,CM,0.538266638,MS010
341,36,3,CM,0.530566672,MS010
342,36,1,CM,0.441366652,MS011
343,36,2,CM,0.453366676,MS011
344,36,3,CM,0.451466659,MS011
345,36,1,CM,0.385066668,MS013
346,36,2,CM,0.38286666,MS013
347,36,3,CM,0.407566646,MS013
348,36,1,CM,0.512266675,MS014
349,36,2,CM,0.470766643,MS014
350,36,3,CM,0.474266687,MS014
351,39,1,CM,0.343466679,MS001
352,39,2,CM,0.342566678,MS001
353,39,3,CM,0.38346664,MS001
354,39,1,CM,0.475466648,MS002
355,39,2,CM,0.477266649,MS002
356,39,3,CM,0.474466661,MS002
357,39,1,CM,0.444266656,MS004
358,39,2,CM,0.46296666,MS004
359,39,3,CM,0.457766691,MS004
