,Time,Replicate,media,OD,Strain
145,24,1,DM29 + Fucose,0.232800007,MS001
146,24,1,DM29 + Succinate,0.267999984,MS001
147,24,1,DM29 + Sorbitol,0.242200009,MS001
148,24,1,DM29 + Mannitol,0.516399972,MS001
149,24,1,DM29 + Trehalose,0.3081,MS001
150,24,2,DM29 + GalNAc,0.194200002,MS001
151,24,2,DM29 + Fucose,0.248100013,MS001
152,24,2,DM29 + Succinate,0.291100003,MS001
153,24,2,DM29 + Sorbitol,0.258599989,MS001
154,24,2,DM29 + Mannitol,0.505800001,MS001
155,24,2,DM29 + Trehalose,0.257300004,MS001
156,24,3,DM29 + GalNAc,0.212299995,MS001
157,24,3,DM29 + Fucose,0.260699987,MS001
158,24,3,DM29 + Succinate,0.292200007,MS001
159,24,3,DM29 + Sorbitol,0.259199999,MS001
160,24,3,DM29 + Mannitol,0.470700018,MS001
161,24,3,DM29 + Trehalose,0.297700003,MS001
162,27,1,DM29 + GalNAc,0.203000002,MS001
163,27,1,DM29 + Fucose,0.236299992,MS001
164,27,1,DM29 + Succinate,0.247100003,MS001
165,27,1,DM29 + Sorbitol,0.237599991,MS001
166,27,1,DM29 + Mannitol,0.449800007,MS001
167,27,1,DM29 + Trehalose,0.323200002,MS001
168,27,2,DM29 + GalNAc,0.190500013,MS001
169,27,2,DM29 + Fucose,0.248400003,MS001
170,27,2,DM29 + Succinate,0.268199988,MS001
171,27,2,DM29 + Sorbitol,0.256799989,MS001
172,27,2,DM29 + Mannitol,0.44819998,MS001
173,27,2,DM29 + Trehalose,0.278500006,MS001
174,27,3,DM29 + GalNAc,0.209399991,MS001
175,27,3,DM29 + Fucose,0.235399991,MS001
176,27,3,DM29 + Succinate,0.266099997,MS001
177,27,3,DM29 + Sorbitol,0.255699985,MS001
178,27,3,DM29 + Mannitol,0.41269999,MS001
179,27,3,DM29 + Trehalose,0.302400008,MS001
180,30,1,DM29 + GalNAc,0.235799991,MS001
181,30,1,DM29 + Fucose,0.252499998,MS001
182,30,1,DM29 + Succinate,0.180199988,MS001
183,30,1,DM29 + Sorbitol,0.229800008,MS001
184,30,1,DM29 + Mannitol,0.420100026,MS001
185,30,1,DM29 + Trehalose,0.322500005,MS001
186,30,2,DM29 + GalNAc,0.1985,MS001
187,30,2,DM29 + Fucose,0.263700008,MS001
188,30,2,DM29 + Succinate,0.206700005,MS001
189,30,2,DM29 + Sorbitol,0.252299987,MS001
