Comms,Richness,Objective
CD+BT-BU-CS-DP,5,-0.6273348660645439
CD+BT-BU-CS-CA,5,-0.6736363014396378
CD+BT-BU-CS-CA-DP,6,-0.4271859138899945
CD+BT-CH,3,1.3886027082192633
CD+BT-CH-DP,4,1.710235066749914
CD+BT-CH-CA,4,1.6942618254344053
CD+BT-CH-CA-DP,5,1.9361447647822123
CD+BT-CH-CS,4,1.5338307170159347
CD+BT-CH-CS-DP,5,1.8095939048394847
CD+BT-CH-CS-CA,5,1.7810092684337668
CD+BT-CH-CS-CA-DP,6,2.0006784804697526
CD+BT-CH-BU,4,1.0751684263196513
CD+BT-CH-BU-DP,5,1.4368847613127844
CD+BT-CH-BU-CA,5,1.3324285171621888
CD+BT-CH-BU-CA-DP,6,1.6270276587456447
CD+BT-CH-BU-CS,5,1.215166051130815
CD+BT-CH-BU-CS-DP,6,1.5336469582148933
CD+BT-CH-BU-CS-CA,6,1.4331607127524144
CD+BT-CH-BU-CS-CA-DP,7,1.70038880791743
CD+BT-BV,3,-1.445149150201864
CD+BT-BV-DP,4,-1.1369003483227331
CD+BT-BV-CA,4,-1.1242520589457499
CD+BT-BV-CA-DP,5,-0.8957183607378791
CD+BT-BV-CS,4,-1.291686792116689
CD+BT-BV-CS-DP,5,-1.0344835320601682
CD+BT-BV-CS-CA,5,-1.0338392931663876
CD+BT-BV-CS-CA-DP,6,-0.8310383945247359
CD+BT-BV-BU,4,-1.4036830280128196
CD+BT-BV-BU-DP,5,-1.1298740614129592
CD+BT-BV-BU-CA,5,-1.1573612138400886
CD+BT-BV-BU-CA-DP,6,-0.9402785338461435
CD+BT-BV-BU-CS,5,-1.2849846993173895
CD+BT-BV-BU-CS-DP,6,-1.0470670061756184
CD+BT-BV-BU-CS-CA,6,-1.0720322703068366
CD+BT-BV-BU-CS-CA-DP,7,-0.8776506740903987
CD+BT-BV-CH,4,1.131135237346193
CD+BT-BV-CH-DP,5,1.3972469537841992
CD+BT-BV-CH-CA,5,1.3929923971240594
CD+BT-BV-CH-CA-DP,6,1.6000841831294235
CD+BT-BV-CH-CS,5,1.2744362663325592
CD+BT-BV-CH-CS-DP,6,1.5057981549477066
CD+BT-BV-CH-CS-CA,6,1.494240337488602
CD+BT-BV-CH-CS-CA-DP,7,1.6816371821475258
CD+BT-BV-CH-BU,5,0.9013893476174157
CD+BT-BV-CH-BU-DP,6,1.192758202590806
CD+BT-BV-CH-BU-CA,6,1.1120910882873787
CD+BT-BV-CH-BU-CA-DP,7,1.3550820046161487
CD+BT-BV-CH-BU-CS,6,1.0345031079665112
CD+BT-BV-CH-BU-CS-DP,7,1.2935929204888463
CD+BT-BV-CH-BU-CS-CA,7,1.2185332261938218
CD+BT-BV-CH-BU-CS-CA-DP,8,1.4391478972357437
