species,true,pred,stdv
CS,0.021472142,0.1251823455095291,0.09266280382871628
CA,0.018853547,0.3082906901836395,0.11762169748544693
DP,0.046787036,0.0899747759103775,0.049483176320791245
BT,1.04351902,2.9509401429095306e-06,0.3299117982387543
BV,0.026561931,1.1450018882751465,1.3709449768066406
CH,0.191174923,2.161263942718506,3.2350075244903564
BU,0.303696177,2.501394033432007,3.291245222091675
CS,0.039351074,2.3824177333153784e-06,0.07665204256772995
CA,0.028245874,1.0892691612243652,1.6510881185531616
DP,0.059284295,2.3681557178497314,2.985032081604004
BT,1.759245252,1.3104413747787476,0.3368758261203766
BV,0.229921442,0.025424478575587273,0.1321011334657669
BT,1.38862985,1.3798400163650513,0.33768975734710693
BV,0.378203472,3.868454996336368e-07,0.12855423986911774
BV,0.142260464,0.7393329739570618,0.17942863702774048
CD,0.34178926,0.4942721724510193,0.2805202603340149
CH,0.124634505,0.37236252427101135,0.14137735962867737
BU,0.756014893,0.4509553611278534,0.20353369414806366
CS,0.061783554,0.017629439011216164,0.07804029434919357
CA,0.022857665,0.053383905440568924,0.0609796978533268
DP,0.080326348,0.3744765520095825,0.12275661528110504
BV,0.28601368,0.6910633444786072,0.5866516828536987
CD,0.361466557,0.7063042521476746,0.45587849617004395
CH,0.082335114,1.2388885021209717,1.5178992748260498
BU,0.347782909,1.124830722808838,1.6077513694763184
CS,0.197559357,7.440513483114586e-11,0.07665202766656876
CA,0.056042461,0.16388826072216034,0.37952524423599243
DP,0.057466558,1.2442916631698608,1.3625046014785767
CH,0.057250103,0.33318907022476196,0.07549040019512177
DP,0.277416585,0.09308530390262604,0.051149897277355194
CH,0.046018517,0.4898591935634613,0.17165343463420868
DP,0.291398143,0.2096167802810669,0.1279621124267578
BV,1.001307491,1.0366733074188232,0.22843080759048462
CS,0.358525845,0.14632222056388855,0.1617838740348816
BV,1.018079541,1.0357286930084229,0.3724323511123657
CS,0.145087177,0.25209054350852966,0.2933299243450165
CD,0.618954379,0.4701584279537201,0.26156550645828247
BU,0.41887897,0.36990228295326233,0.18089832365512848
CD,0.819892242,0.47983357310295105,0.26146066188812256
BU,0.464274389,0.33750757575035095,0.18568870425224304
CA,0.002926229,0.0006525549106299877,0.043122824281454086
DP,0.131907108,0.06385790556669235,0.055937644094228745
CA,0.005125868,8.60499421833083e-05,0.04311372712254524
DP,0.150374126,0.21306127309799194,0.05935658514499664
CD,0.445080536,0.5028422474861145,0.2482346147298813
CA,0.036586119,7.391530380118638e-05,0.043113138526678085
CD,0.44265096,0.5113150477409363,0.24825765192508698
CA,0.020349036,9.818674698180985e-06,0.043113015592098236
CD,0.543361338,0.4788574278354645,0.25002455711364746
CS,0.143305311,0.1134851723909378,0.09731439501047134
CD,0.431201436,0.5125958323478699,0.2485775202512741
CS,0.2156319,0.05533121898770332,0.09927143156528473
CD,0.211039318,0.501308262348175,0.24824677407741547
DP,0.167294018,0.005729149095714092,0.05507534742355347
CD,0.180305237,0.5112683773040771,0.24825811386108398
DP,0.287528099,0.0002444883284624666,0.05486332252621651
CD,0.37590053,0.48969531059265137,0.24842484295368195
DP,0.18193279,0.0134076913818717,0.055587444454431534
CD,0.309946765,0.5112248063087463,0.2482585310935974
DP,0.234386575,0.0005684437928721309,0.05487482622265816
BT,0.932000344,0.8169653415679932,0.30270063877105713
BV,0.089004374,0.23784007132053375,0.14621758460998535
CD,0.423802633,0.4844740033149719,0.2128543108701706
BU,0.291357674,0.1748836785554886,0.16851171851158142
CS,0.110835938,0.03644619509577751,0.07559510320425034
CA,0.023785905,2.7977113859378733e-05,0.022771457210183144
DP,0.036213133,0.005468958057463169,0.04145757853984833
BT,0.70846961,0.9637725949287415,0.303182989358902
BV,0.084416003,0.07132347673177719,0.1478959321975708
CD,0.577070579,0.5087496638298035,0.21276110410690308
BU,0.197912986,0.07884004712104797,0.1705201119184494
CS,0.198545283,0.026737118139863014,0.07636063545942307
CA,0.083606545,7.758939026209291e-14,0.02277134731411934
DP,0.030812308,0.0005041721160523593,0.041356444358825684
BV,1.413939791,1.0729856491088867,0.14551644027233124
DP,0.20789352,0.002770863939076662,0.04156645014882088
BV,1.188235427,1.079565167427063,0.14570260047912598
DP,0.326731266,4.365350105217658e-05,0.041350845247507095
BT,1.955203861,0.9340822696685791,0.3030010759830475
CD,0.301296121,0.5063486099243164,0.21262647211551666
BT,1.242124183,0.9802113771438599,0.3037011921405792
CD,0.465042455,0.510090708732605,0.21301603317260742
BT,1.269154285,0.9925307631492615,0.2967916429042816
BV,0.014460459,0.01738126203417778,0.13958215713500977
CD,0.016035435,0.3800020217895508,0.2123662680387497
CH,0.010226189,0.08166922628879547,0.07464353740215302
BU,0.390267785,0.26226741075515747,0.1692514419555664
CS,0.239980369,0.04047591984272003,0.07559692859649658
CA,0.071973411,7.16900103725493e-08,0.02277134731411934
DP,0.012235402,0.01031840592622757,0.04157119244337082
BT,1.085880208,1.0169482231140137,0.29964953660964966
BV,0.019347845,0.006915089674293995,0.1395941525697708
CD,0.008059489,0.3989351987838745,0.21553245186805725
CH,0.012207406,0.06559386849403381,0.07756239920854568
BU,0.357577603,0.21570773422718048,0.17532235383987427
CS,0.19024458,0.07028742134571075,0.0810748040676117
CA,0.132498384,3.0473035187339632e-15,0.02277134731411934
DP,0.008017855,0.013357688672840595,0.04342764616012573
BT,0.753324905,1.1874001026153564,0.3077230751514435
BV,0.02131693,0.0158742256462574,0.13968051970005035
CD,0.425286735,0.31179678440093994,0.22698113322257996
CH,0.000631444,0.08704579621553421,0.07970380783081055
BU,0.035802228,0.26197952032089233,0.17453305423259735
CS,0.242544975,0.19984963536262512,0.08617270737886429
CA,0.430121467,6.564437740053108e-07,0.02277134731411934
DP,0.003471286,0.000573983823414892,0.041352272033691406
BT,1.426782663,1.0752032995224,0.30835187435150146
BV,0.001012411,0.003423824440687895,0.13938216865062714
CD,0.141202105,0.40493953227996826,0.22062532603740692
CH,0.0,0.071434386074543,0.08021046221256256
BU,0.040811966,0.1946641206741333,0.18025478720664978
CS,0.045216915,0.14566266536712646,0.08892930299043655
CA,0.065303099,2.7349140408416094e-14,0.02277134731411934
DP,0.000504179,0.0004501841904129833,0.041356559842824936
BT,0.819566081,1.1082017421722412,0.32603588700294495
BV,0.165307217,0.11060064285993576,0.14130106568336487
CD,0.144121451,0.09405103325843811,0.25731611251831055
CH,0.185107617,0.14417406916618347,0.06605584174394608
BU,0.408795856,0.38369885087013245,0.15229001641273499
CS,0.074406986,0.2126206010580063,0.1052575409412384
CA,0.015861436,0.00704816123470664,0.04005748778581619
BT,0.839403698,0.8932989239692688,0.37854722142219543
BV,0.042994346,0.003701095934957266,0.13685600459575653
CD,0.261323279,0.8473495841026306,0.3080507218837738
CH,0.07856605,0.0012587475357577205,0.06365860998630524
BU,0.255850761,0.07434479892253876,0.1581348180770874
CS,0.126104254,0.14443820714950562,0.1264536827802658
CA,0.03709097,0.19105833768844604,0.07951638847589493
